,precision,recall,f1-score,support
0,0.7437191103789127,0.7199960127591707,0.7316653160453809,10032.0
1,0.7248506220001959,0.748306198806755,0.7363916807642551,9889.0
accuracy,0.7340494955072536,0.7340494955072536,0.7340494955072536,0.7340494955072536
macro avg,0.7342848661895542,0.7341511057829628,0.734028498404818,19921.0
weighted avg,0.7343525885387877,0.7340494955072536,0.7340115346440932,19921.0
