,precision,recall,f1-score,support
0,0.7536642070150612,0.7432216905901117,0.7484065244667503,10032.0
1,0.7431192660550459,0.753564566690262,0.7483054676909173,9889.0
accuracy,0.7483560062245871,0.7483560062245871,0.7483560062245871,0.7483560062245871
macro avg,0.7483917365350535,0.7483931286401868,0.7483559960788337,19921.0
weighted avg,0.7484295841972513,0.7483560062245871,0.7483563587895146,19921.0
