,precision,recall,f1-score,support
0,0.8270334897638199,0.8124422950098923,0.8196729621919961,159215.0
1,0.8167525773195876,0.8310781699770842,0.8238531031131716,160151.0
accuracy,0.8217875415667291,0.8217875415667291,0.8217875415667291,0.8217875415667291
macro avg,0.8218930335417037,0.8217602324934883,0.8217630326525839,319366.0
weighted avg,0.8218779678583691,0.8217875415667291,0.8217691582450111,319366.0
