,precision,recall,f1-score,support
0,0.7686699302156026,0.7356459330143541,0.7517954464422146,10032.0
1,0.7430232558139535,0.7754070178986753,0.758869810480479,9889.0
accuracy,0.7553837658752071,0.7553837658752071,0.7553837658752071,0.7553837658752071
macro avg,0.755846593014778,0.7555264754565147,0.7553326284613469,19921.0
weighted avg,0.7559386434750821,0.7553837658752071,0.7553072373148815,19921.0
